student_id,sample_number,is_exito,sensor_name,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
Edgar,1,0,Antebrazo,1.35,-0.02212623,-0.94997263,-0.08633105,16.28121376,-44.25733948,20.49814034,0.38411397,-0.75433528,-0.50813651,0.15884665
Edgar,1,0,Antebrazo,1.36,0.01664775,-0.92798173,-0.07411718,8.72840214,-31.13827896,21.95854759,0.38201699,-0.75650781,-0.50668681,0.15820067
Edgar,1,0,Antebrazo,1.37,0.05103193,-0.89550626,-0.07237254,4.51948261,-22.43556023,23.58659554,0.36497828,-0.760768,-0.51191592,0.16113684
Edgar,1,0,Antebrazo,1.38,0.08097307,-0.85972631,-0.05378187,3.83403587,-18.46076584,24.6364727,0.36324415,-0.76231974,-0.51121438,0.15994422
Edgar,1,0,Antebrazo,1.39,0.06566381,-0.8278178,-0.06518801,5.35099936,-17.18507767,25.73418427,0.36137837,-0.76383042,-0.51065475,0.15874676
Edgar,1,0,Antebrazo,1.4,0.04710267,-0.82420027,-0.08425096,8.06975937,-19.7276535,26.70806313,0.35924929,-0.76549196,-0.51000452,0.15766208
Edgar,2,0,Antebrazo,0.0002,-0.92796952,-0.42168823,-0.10295197,-23.5986042,116.0738678,-80.76734924,0.42053258,-0.66351449,-0.61569142,0.06184615
Edgar,2,0,Antebrazo,0.0102,-0.71402168,-0.30769026,-0.1549174,-45.93627167,140.76036072,-69.4315033,0.42899209,-0.65338427,-0.62083864,0.06011812
Edgar,2,0,Antebrazo,0.0202,-0.55516082,-0.18819973,-0.18229392,-63.54892349,151.1109314,-58.47998047,0.43770742,-0.64276236,-0.62616569,0.05644003
Edgar,2,0,Antebrazo,0.0302,-0.32363588,-0.04602022,-0.16444786,-71.53736115,144.43511963,-50.17746735,0.4461132,-0.63262105,-0.63093716,0.05188602
Edgar,2,0,Antebrazo,0.0402,-0.0077121,0.00840845,-0.0472324,-78.365448,127.5348053,-39.94266891,0.53186101,-0.61791438,-0.56999487,0.10203716
Edgar,2,0,Antebrazo,0.0502,0.09619833,0.01627703,-0.074998,-92.67428589,105.78945923,-22.77026176,0.53869796,-0.60992742,-0.57318044,0.0962154
Edgar,2,0,Antebrazo,0.0602,-1.264e-05,0.16966948,-0.06878809,-104.8384552,79.86803436,-13.75164986,0.54526848,-0.60364002,-0.57474858,0.08924729
Edgar,2,0,Antebrazo,0.0702,-0.04094267,0.2329407,-0.10099284,-108.92219543,75.51889038,-17.62401581,0.55212551,-0.59741533,-0.57575357,0.08222091
Edgar,2,0,Antebrazo,0.0802,0.04644112,0.19169642,-0.14808258,-108.92349243,82.15455627,-27.85880661,0.55954224,-0.59041673,-0.57670873,0.0756818
Edgar,2,0,Antebrazo,0.0902,0.22400966,0.08809292,-0.21553592,-106.75660706,80.87071228,-41.16671753,0.64052927,-0.55851072,-0.52194983,0.07318859
Edgar,2,0,Antebrazo,0.1002,0.34298226,0.06460161,-0.20995434,-107.14411926,72.52757263,-50.77216339,0.64841992,-0.5505569,-0.52128124,0.06859092
Edgar,2,0,Antebrazo,0.1102,0.3655822,0.1446254,-0.2041312,-112.97397614,58.85771179,-58.06925964,0.65667868,-0.54313838,-0.51931971,0.06388277
Edgar,2,0,Antebrazo,0.1202,0.35492191,0.24288449,-0.1831367,-119.67080688,46.65690994,-63.7429657,0.66526729,-0.5361827,-0.51619428,0.05891611
Edgar,2,0,Antebrazo,0.1302,0.40713796,0.29509258,-0.18270025,-128.1668396,44.61729813,-71.11449432,0.67443442,-0.52892941,-0.51233637,0.05369744
Edgar,2,0,Antebrazo,0.1402,0.67958373,0.30691761,-0.226798,-134.88887024,52.96664429,-79.68058777,0.74577409,-0.45816767,-0.4802556,0.05707896
Edgar,2,0,Antebrazo,0.1502,1.02368414,0.34034124,-0.34171665,-135.42364502,65.13803101,-91.45915222,0.75512558,-0.44775507,-0.47597298,0.05244672
Edgar,2,0,Antebrazo,0.1602,1.21851838,0.41545025,-0.48095244,-133.97637939,58.7516861,-110.89096832,0.76507163,-0.43724743,-0.47022468,0.04867312
Edgar,2,0,Antebrazo,0.1702,1.19333065,0.4669781,-0.49606824,-130.53683472,30.94114685,-133.89083862,0.7755177,-0.42809588,-0.4617579,0.04567162
